window_start,window_end,service_name,total_log_lines,error_count,warning_count,info_count,error_rate_logs,warning_rate_logs,unique_templates,template_entropy,new_templates_seen,exception_count,timeout_count,oom_mention_count,avg_message_length,log_volume_change_pct,timestamp,failure,pre_failure,future_failure,failure_type,scenario_id
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,adservice,18,0,0,18,0.0,0.0,1,0.0,1,0,0,0,509.89,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,cartservice,34,0,0,34,0.0,0.0,1,0.0,0,0,0,0,73.12,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,checkoutservice,6,0,0,6,0.0,0.0,1,0.0,0,0,0,0,149.0,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,currencyservice,115,0,0,115,0.0,0.0,1,0.0,0,0,0,0,148.47,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,emailservice,2,0,0,2,0.0,0.0,1,0.0,0,0,0,0,184.5,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,frontend,87,0,0,12,0.0,0.0,1,0.0,0,0,0,0,259.13,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,loadgenerator,17,0,0,17,0.0,0.0,1,0.0,0,0,0,0,160.0,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,loki,1,0,0,1,0.0,0.0,1,0.0,0,0,0,0,123.0,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,paymentservice,2,0,0,2,0.0,0.0,1,0.0,0,0,0,0,397.0,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,recommendationservice,20,0,0,20,0.0,0.0,1,0.0,0,0,0,0,215.45,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:32:45.000Z,2026-03-27T23:33:00.000Z,shippingservice,11,0,0,11,0.0,0.0,1,0.0,0,0,0,0,104.09,0.0,2026-03-27T23:32:45.000Z,0,0,0,none,
2026-03-27T23:33:00.000Z,2026-03-27T23:33:15.000Z,adservice,1,0,0,1,0.0,0.0,1,0.0,0,0,0,0,504.0,-94.4444,2026-03-27T23:33:00.000Z,0,0,0,none,
2026-03-27T23:33:00.000Z,2026-03-27T23:33:15.000Z,cartservice,2,0,0,2,0.0,0.0,1,0.0,0,0,0,0,68.0,-94.1176,2026-03-27T23:33:00.000Z,0,0,0,none,
2026-03-27T23:33:00.000Z,2026-03-27T23:33:15.000Z,currencyservice,12,0,0,12,0.0,0.0,1,0.0,0,0,0,0,148.33,-89.5652,2026-03-27T23:33:00.000Z,0,0,0,none,
2026-03-27T23:33:00.000Z,2026-03-27T23:33:15.000Z,frontend,8,0,0,1,0.0,0.0,1,0.0,0,0,0,0,239.38,-90.8046,2026-03-27T23:33:00.000Z,0,0,0,none,
2026-03-27T23:33:15.000Z,2026-03-27T23:33:30.000Z,adservice,15,0,0,15,0.0,0.0,1,0.0,0,0,0,0,511.93,1400.0,2026-03-27T23:33:15.000Z,0,0,0,none,
2026-03-27T23:33:15.000Z,2026-03-27T23:33:30.000Z,cartservice,25,0,0,25,0.0,0.0,1,0.0,0,0,0,0,72.08,1150.0,2026-03-27T23:33:15.000Z,0,0,0,none,
2026-03-27T23:33:15.000Z,2026-03-27T23:33:30.000Z,currencyservice,76,0,0,76,0.0,0.0,1,0.0,0,0,0,0,148.58,533.3333,2026-03-27T23:33:15.000Z,0,0,0,none,
2026-03-27T23:33:15.000Z,2026-03-27T23:33:30.000Z,frontend,58,0,0,2,0.0,0.0,1,0.0,0,0,0,0,273.57,625.0,2026-03-27T23:33:15.000Z,0,0,0,none,
2026-03-27T23:33:15.000Z,2026-03-27T23:33:30.000Z,loadgenerator,14,0,0,14,0.0,0.0,1,0.0,0,0,0,0,160.0,-17.6471,2026-03-27T23:33:15.000Z,0,0,0,none,
